kabinett;name;v1org;v1art;v1position;v1beginn;v1ende;v2org;v2art;v2position;v2beginn;v2ende;v3org;v3art;v3position;v3beginn;v3ende;v4org;v4art;v4position;v4beginn;v4ende;tag1;tag2;tag3
Merkel III;Angela Merkel;Bundeskanzleramt;government;Bundeskanzlerin;"17.12.2013";;Bundesregierung;government;Bundeskanzlerin;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Helge Braun;Bundeskanzleramt;government;Staatsminister;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Monika Grütters;Bundeskanzleramt;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Aydan Özoğuz;Bundeskanzleramt;government;Staatsministerin;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Frank-Walter Steinmeier;Auswärtiges Amt;government;Bundesminister des Auswärtigen;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Maria Böhmer;Auswärtiges Amt;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Michael Roth;Auswärtiges Amt;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Thomas de Maizière;Bundesministerium des Inneren;government;Bundesminister des Inneren;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Günter Krings;Bundesministerium des Inneren;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Ole Schröder;Bundesministerium des Inneren;government;Parlamentarischer Staatssekretär;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Heiko Maas;Bundesministerium der Justiz;government;Bundesminister der Justiz;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Ulrich Kelber;Bundesministerium der Justiz;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Christian Lange;Bundesministerium der Justiz;government;Parlamentarischer Staatssekretär;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Wolfgang Schäuble;Bundesministerium der Finanzen;government;Bundesminister der Finanzen;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Steffen Kampeter;Bundesministerium der Finanzen;government;Parlamentarischer Staatssekretär;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Michael Meister;Bundesministerium der Finanzen;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Sigmar Gabriel;Bundesministerium für Wirtschaft und Energie;government;Bundesminister für Wirtschaft und Technologie;"17.12.2013";;Bundesregierung;government;Stellvertreter der Bundeskanzlerin;"17.12.2013";;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Uwe Beckmeyer;Bundesministerium für Wirtschaft und Energie;government;Parlamentarischer Staatssekretär;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Iris Gleicke;Bundesministerium für Wirtschaft und Energie;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Brigitte Zypries;Bundesministerium für Wirtschaft und Energie;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Andrea Nahles;Bundesministerium für Bundesministerium für Arbeit und Soziales;government;Bundesministerin für Arbeit und Soziales;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Anette Kramme;Bundesministerium für Bundesministerium für Arbeit und Soziales;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Gabriele Lösekrug-Möller;Bundesministerium für Bundesministerium für Arbeit und Soziales;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Hans-Peter Friedrich;Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz;government;Bundesminister für Ernährung, Landwirtschaft und Verbraucherschutz;"17.12.2013";2/17/14;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Peter Bleser;Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Maria Flachsbarth;Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Christian Schmidt;Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz;government;Bundesminister für Ernährung, Landwirtschaft und Verbraucherschutz;2/17/14;;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Ursula von der Leyen;Bundesministerium der Verteidigung;government;Bundesministerin der Verteidigung;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Ralf Brauksiepe;Bundesministerium der Verteidigung;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Gerd Hoofe;Bundesministerium der Verteidigung;government;Beamter Staatssekretär ;"17.12.2013";;;;;;;;;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Markus Grübel;Bundesministerium der Verteidigung;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Manuela Schwesig;Bundesministerium für Familie, Senioren, Frauen und Jugend;government;Bundesministerin für Familie, Senioren, Frauen und Jugend;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Elke Ferner;Bundesministerium für Familie, Senioren, Frauen und Jugend;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Caren Marks;Bundesministerium für Familie, Senioren, Frauen und Jugend;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Hermann Gröhe;Bundesministerium für Gesundheit;government;Bundesminister für Gesundheit;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Ingrid Fischbach;Bundesministerium für Gesundheit;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Annette Widmann-Mauz;Bundesministerium für Gesundheit;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Alexander Dobrindt;Bundesministerium für Verkehr und digitale Infrastruktur;government;Bundesminister für Verkehr und digitale Infrastruktur;"17.12.2013";;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Dorothee Bär;Bundesministerium für Verkehr und digitale Infrastruktur;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Enak Ferlemann;Bundesministerium für Verkehr und digitale Infrastruktur;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Katherina Reiche;Bundesministerium für Verkehr und digitale Infrastruktur;government;Parlamentarische Staatssekretärin ;"17.12.2013";2/4/15;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Norbert Barthle;Bundesministerium für Verkehr und digitale Infrastruktur;government;Parlamentarischer Staatssekretär ;"
11.02.2015";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Barbara Hendricks;Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit;government;Bundesministerin für Umwelt, Naturschutz, Bau und Reaktorsicherheit;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Florian Pronold;Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Rita Schwarzelühr-Sutter;Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit;government;Parlamentarische Staatssekretärin ;"17.12.2013";;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Johanna Wanka;Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie;government;Bundesministerin für Bildung, Wissenschaft, Forschung und Technologie;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Stefan Müller;Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Thomas Rachel;Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Gerd Müller;Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung;government;Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung;"17.12.2013";;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Hans-Joachim Fuchtel;Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung;government;Parlamentarischer Staatssekretär ;"17.12.2013";;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Christian Schmidt;Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung;government;Parlamentarischer Staatssekretär ;"17.12.2013";2/17/14;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Thomas Silberhorn;Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung;government;Parlamentarischer Staatssekretär ;2/17/14;;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel III;Peter Altmaier;Bundesministerium für besondere Aufgaben;government;Bundesminister für besondere Aufgaben;"17.12.2013";;Bundeskanzleramt;government;Chef des Bundeskanzleramtes;"17.12.2013";;CDU;Mitglied;;;;;;;;;Kabinett Merkel III;Verwaltung;Politik
Merkel II;Angela Merkel;Bundesregierung;government;Bundeskanzlerin;10/28/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Maria Böhmer;Bundesregierung;government;Parlamentarische Staatssekretärin ;10/28/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Bernd Neumann;Bundesregierung;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Eckart von Klaeden;Bundesregierung;government;Staatsminister;10/28/09;1/1/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Guido Westerwelle;Auswärtiges Amt;government;Bundesminister des Auswärtigen;10/28/09;12/17/13;Bundesregierung;government;Stellvertreter der Bundeskanzlerin;10/28/09;5/16/11;FDP;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Werner Hoyer;Auswärtiges Amt;government;Staatsminister;10/28/09;12/31/11;;;;;;FDP;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Michael Georg Link;Auswärtiges Amt;government;Staatsminister;1/24/12;12/17/13;;;;;;FDP;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Cornelia Pieper;Auswärtiges Amt;government;Staatsministerin;11/1/09;12/17/13;;;;;;FDP;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Philipp Rösler;Wirtschaft und Technologie;government;Bundesminister für Wirtschaft und Technologie;5/12/11;12/17/13;Bundesregierung;government;Stellvertreter der Bundeskanzlerin;5/16/11;;FDP;Mitglied;;;;Bundesministerium für Gesundheit;government;Bundesminister für Gesundheit;10/28/09;5/12/11;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Thomas de Maizière;Bundesministerium des Inneren;government;Bundesminister des Inneren;10/28/09;3/3/11;Bundesministerium der Verteidigung;government;Bundesminister der Verteidigung;3/3/11;12/17/13;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Christoph Bergner;Bundesministerium des Inneren;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Ole Schröder;Bundesministerium des Inneren;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Hans-Peter Friedrich;Bundesministerium des Inneren;government;Bundesminister des Inneren;3/3/11;12/17/13;Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz;government;Bundesminister für Ernährung, Landwirtschaft und Verbraucherschutz (kommissarisch);9/30/13;12/17/13;CSU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Sabine Leutheusser-Schnarrenberger;Bundesministerium der Justiz;government;Bundesministerin der Justiz;10/28/09;12/17/13;;;;;;FDP;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Max Stadler;Bundesministerium der Justiz;government;Parlamentarischer Staatssekretär ;10/28/09;5/12/13;;;;;;;;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Wolfgang Schäuble;Bundesministerium der Finanzen;government;Bundesminister der Finanzen;10/28/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Steffen Kampeter;Bundesministerium der Finanzen;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Hartmut Koschyk;Bundesministerium der Finanzen;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Rainer Brüderle;Bundesministerium für Wirtschaft und Technologie;government;Bundesminister für Wirtschaft und Technologie;10/28/09;5/12/11;;;;;;FDP;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Peter Hintze;Bundesministerium für Wirtschaft und Technologie;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Hans-Joachim Otto;Bundesministerium für Wirtschaft und Technologie;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;FDP;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Ernst Burgbacher;Bundesministerium für Wirtschaft und Technologie;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;FDP;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Franz Josef Jung;Bundesministerium für Arbeit und Soziales;government;Bundesminister für Arbeit und Soziales;10/29/09;11/30/09;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Hans-Joachim Fuchtel;Bundesministerium für Arbeit und Soziales;government;Parlamentarischer Staatssekretär ;10/30/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Ralf Brauksiepe;Bundesministerium für Arbeit und Soziales;government;Parlamentarischer Staatssekretär ;10/31/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Ursula von der Leyen;Bundesministerium für Arbeit und Soziales;government;Bundesministerin für Arbeit und Soziales;11/30/09;12/17/13;Bundesministerium für Familie, Senioren, Frauen und Jugend;government;Bundesministerin für Familie, Senioren, Frauen und Jugend;10/28/09;11/30/09;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Ilse Aigner;Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz;government;Bundesministerin für Ernährung, Landwirtschaft und Verbraucherschutz;10/28/09;9/30/13;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Gerd Müller;Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Julia Klöckner;Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz;government;Parlamentarische Staatssekretärin ;10/28/09;2/15/11;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Peter Bleser;Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz;government;Parlamentarischer Staatssekretär ;10/28/09;2/15/11;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Karl-Theodor zu Guttenberg;Bundesministerium der Verteidigung;government;Bundesminister der Verteidigung;10/28/09;3/3/11;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
Merkel II;Christian Schmidt;Bundesministerium der Verteidigung;government;Parlamentarischer Staatssekretär ;10/28/09;12/17/13;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel II;Verwaltung;Politik
